regulator	replicate	fastq_1	fastq_2
GCN4xcAD	C	fastq/SRX24857909_SRR29342142_1.fastq.gz	fastq/SRX24857909_SRR29342142_2.fastq.gz
GCN4xcAD_SM	A	fastq/SRX24857910_SRR29342141_1.fastq.gz	fastq/SRX24857910_SRR29342141_2.fastq.gz
GCN4xcAD_SM	B	fastq/SRX24857911_SRR29342140_1.fastq.gz	fastq/SRX24857911_SRR29342140_2.fastq.gz
GCN4xcAD_SM	C	fastq/SRX24857912_SRR29342139_1.fastq.gz	fastq/SRX24857912_SRR29342139_2.fastq.gz
GCN4xdbdmut	A	fastq/SRX20967111_SRR25220385_1.fastq.gz	fastq/SRX20967111_SRR25220385_2.fastq.gz
GCN4xdbdmut	B	fastq/SRX20967112_SRR25220384_1.fastq.gz	fastq/SRX20967112_SRR25220384_2.fastq.gz
GCN4xdbdmut	C	fastq/SRX20967113_SRR25220383_1.fastq.gz	fastq/SRX20967113_SRR25220383_2.fastq.gz
GCN4xdbdmut_SM	A	fastq/SRX20967114_SRR25220382_1.fastq.gz	fastq/SRX20967114_SRR25220382_2.fastq.gz
GCN4xdbdmut_SM	B	fastq/SRX20967115_SRR25220381_1.fastq.gz	fastq/SRX20967115_SRR25220381_2.fastq.gz
GCN4xdbdmut_SM	C	fastq/SRX20967116_SRR25220380_1.fastq.gz	fastq/SRX20967116_SRR25220380_2.fastq.gz
GCN4xnAD	A	fastq/SRX24857913_SRR29342138_1.fastq.gz	fastq/SRX24857913_SRR29342138_2.fastq.gz
GCN4xnAD	B	fastq/SRX24857914_SRR29342137_1.fastq.gz	fastq/SRX24857914_SRR29342137_2.fastq.gz
GCN4xnAD	C	fastq/SRX24857915_SRR29342136_1.fastq.gz	fastq/SRX24857915_SRR29342136_2.fastq.gz
GCN4xnAD_SM	A	fastq/SRX24857916_SRR29342135_1.fastq.gz	fastq/SRX24857916_SRR29342135_2.fastq.gz
GCN4xnAD_SM	B	fastq/SRX24857917_SRR29342134_1.fastq.gz	fastq/SRX24857917_SRR29342134_2.fastq.gz
GCN4xnAD_SM	C	fastq/SRX24857918_SRR29342133_1.fastq.gz	fastq/SRX24857918_SRR29342133_2.fastq.gz
GCN4xncAD	A	fastq/SRX24857919_SRR29342132_1.fastq.gz	fastq/SRX24857919_SRR29342132_2.fastq.gz
GCN4xncAD	B	fastq/SRX24857920_SRR29342131_1.fastq.gz	fastq/SRX24857920_SRR29342131_2.fastq.gz
GCN4xncAD	C	fastq/SRX24857921_SRR29342130_1.fastq.gz	fastq/SRX24857921_SRR29342130_2.fastq.gz
GCN4xncAD_SM	A	fastq/SRX24857922_SRR29342129_1.fastq.gz	fastq/SRX24857922_SRR29342129_2.fastq.gz
GCN4xncAD_SM	B	fastq/SRX24857923_SRR29342128_1.fastq.gz	fastq/SRX24857923_SRR29342128_2.fastq.gz
